,Classifier,True Negative,False Positive,False Negative,True Positive,Accuracy,Precision,Recall,F1 Score,ROC
0,DecisionTreeClassifier,12,0,2,45,0.9661016949152542,1.0,0.9574468085106383,0.9782608695652174,0.9787234042553192
1,KNeighborsClassifier,12,0,5,42,0.9152542372881356,1.0,0.8936170212765957,0.9438202247191011,0.9468085106382979
2,LogisticRegression,6,6,1,46,0.8813559322033898,0.8846153846153846,0.9787234042553191,0.9292929292929293,0.7393617021276595
3,MultinomialNB,5,7,0,47,0.8813559322033898,0.8703703703703703,1.0,0.9306930693069307,0.7083333333333333
4,RandomForestClassifier,12,0,3,44,0.9491525423728814,1.0,0.9361702127659575,0.967032967032967,0.9680851063829787
5,SVC,6,6,1,46,0.8813559322033898,0.8846153846153846,0.9787234042553191,0.9292929292929293,0.7393617021276595
